play_id,game_id,hash_mark,distance_from_center,snap_quality,snap_to_punter_time,snap_to_punt_time,moved_to_catch_snap,punter_steps,punter_distance_covered,players_in_box,number_of_jammers_right,number_of_jammers_left,number_of_rushers,punter_pressured,punter_pressured_by_player_name,punter_hit,punter_knocked_down,punt_deflected,punt_blocked,punt_drop_type,punt_direction,punt_hangtime,punt_distance_from_sideline,punt_hit_ground,punt_hit_ground_first_contact_yard_line,punt_hit_ground_first_contact_side_of_field,punt_bounce_distance,number_of_bounces,type_of_bounce,bounce_out_of_bounds,punt_fair_catchable,fair_catch_signaled_for,returner_bailed_on_fielding_punt,punted_to_yard_line,punted_to_side_of_field,punt_fielded_off_bounce,punt_downed,touchback_save,touchback_save_player_name,failure_to_down_punt,failure_to_down_punt_player_name,nearest_defender_when_punt_fielded_yards,nearest_defender_when_punt_fielded_player_name,missed_tackle_on_return,missed_tackle_on_return_player_name,missed_tackle_yards_gained
119,2021_01_DAL_TB,Right,15,Good,0.74,1.99,No,2,4,8,1,1,7,0,,0,0,0,0,Angled,Right Outside Numbers,4.51,0.5,1,3,DAL,1,1,Forward Right,1,0,0,0,2,DAL,0,0,0,,0,,,,0,,
371,2021_01_DAL_TB,Right,14,Good,0.78,2.07,No,2,4,8,1,1,5,0,,0,0,0,0,Vertical,Left Outside Numbers,4.61,11,1,8,TB,2,3,Forward Left,1,1,0,0,6,TB,0,0,0,,0,,,,0,,
1018,2021_01_DAL_TB,Right,15,Good,0.84,1.91,No,2,3,8,1,1,6,0,,0,0,0,0,Angled,Left Outside Numbers,4.28,3,0,,,,,,0,1,0,0,8,DAL,0,0,0,,0,,4,J.Mickens,1,J.Mickens,3
1146,2021_01_DAL_TB,Left,14,Good,0.7,2.15,Right,2,4,7,1,1,5,0,,0,0,0,0,Flat,Right Middle,3.83,,0,,,,,,0,1,0,0,46,TB,0,0,0,,0,,6,C.Wilson,1,C.Wilson,23
2989,2021_01_DAL_TB,Right,14,Low,0.79,2.06,No,2,4,8,1,1,7,1,M.Parsons,0,0,0,0,Angled,Right Outside Numbers,4.31,10,0,,,,,,0,1,0,0,13,DAL,0,0,0,,0,,3,D.Delaney,1,J.Mickens,11
3677,2021_01_DAL_TB,Middle,14,Good,0.82,1.84,No,2,3,8,0,1,8,0,,0,0,0,0,Angled,Left Middle,4.39,,0,,,,,,0,1,1,0,6,DAL,0,0,0,,0,,2,J.Mickens,0,,
3768,2021_01_DAL_TB,Left,15,Good,0.83,2.17,No,2,4,8,1,1,5,0,,0,0,0,0,Flat,Left Middle,4.14,,0,,,,,,0,1,0,0,30,TB,0,0,0,,0,,11,C.Goodwin,0,C.Goodwin,3
122,2021_01_ARI_TEN,Left,14,Good,0.76,2.12,No,2,4,7,1,2,5,0,,0,0,0,0,Flat,Left Middle,3.37,,0,,,,,,0,1,0,0,28,ARZ,0,0,0,,0,,12,D.Cruikshank,0,,
791,2021_01_ARI_TEN,Left,14,Good,0.82,2.14,No,2,3.5,7,1,2,5,0,,0,0,0,0,Angled,Right Outside Numbers,4.24,11.5,0,,,,,,0,1,0,0,22,ARZ,0,0,0,,0,,13,D.Cruikshank,0,,
885,2021_01_ARI_TEN,Left,15,Good,0.83,2.18,Right,2,4,8,1,1,6,0,,0,0,0,0,Flat,Right Outside Numbers,4.71,11,0,,,,,,0,0,0,0,EZ,TEN,0,0,0,,0,,,,0,,
