"","punter_player_name","muffs","attempts","muff_percentage"
"1","D.Colquitt",45,1192,0.037751677852349
"2","D.Jones",36,1182,0.0304568527918782
"3","A.Lee",34,1381,0.0246198406951484
"4","J.Ryan",31,974,0.0318275154004107
"5","S.Lechler",27,1323,0.0204081632653061
"6","B.Moorman",26,953,0.0272822665267576
"7","S.Koch",25,1186,0.021079258010118
"8","B.Colquitt",21,892,0.023542600896861
"9","C.Hanson",21,508,0.0413385826771654
"10","M.Scifres",21,807,0.0260223048327138
"11","N.Harris",20,912,0.0219298245614035
"12","B.Anger",19,655,0.0290076335877863
"13","B.Maynard",19,1001,0.018981018981019
"14","C.Jones",19,497,0.0382293762575453
"15","D.Zastudil",19,872,0.0217889908256881
"16","M.King",19,454,0.0418502202643172
"17","P.O'Donnell",18,513,0.0350877192982456
"18","B.Fields",17,606,0.0280528052805281
"19","C.Hentrich",17,730,0.0232876712328767
"20","M.Turk",17,771,0.0220492866407263
"21","S.Rocca",17,538,0.0315985130111524
"22","T.Morstead",17,742,0.022911051212938
"23","T.Sauerbrun",17,598,0.0284280936454849
"24","B.Graham",16,499,0.032064128256513
"25","C.Kluwe",16,640,0.025
"26","M.Berger",16,498,0.0321285140562249
"27","M.Koenen",16,754,0.0212201591511936
"28","S.Weatherford",16,734,0.0217983651226158
"29","C.Gardocki",15,559,0.0268336314847943
"30","C.Stanley",15,522,0.028735632183908
"31","J.Baker",15,847,0.0177095631641086
"32","J.Locke",15,322,0.046583850931677
"33","M.Bosher",15,520,0.0288461538461538
"34","R.Allen",15,504,0.0297619047619048
"35","T.Gowin",15,411,0.0364963503649635
"36","T.Masthay",15,439,0.0341685649202733
"37","A.Podlesh",14,470,0.0297872340425532
"38","B.Pinion",14,458,0.0305676855895196
"39","H.Smith",14,675,0.0207407407407407
"40","K.Huber",14,935,0.0149732620320856
"41","K.Walter",14,335,0.0417910447761194
"42","P.McAfee",14,607,0.0230642504118616
"43","R.Hodges",14,318,0.0440251572327044
"44","T.Way",14,520,0.0269230769230769
"45","B.Kern",13,975,0.0133333333333333
"46","C.Schmidt",13,344,0.0377906976744186
"47","J.Feagles",13,761,0.0170827858081472
"48","J.Hekker",13,704,0.0184659090909091
"49","K.Larson",13,380,0.0342105263157895
"50","B.Wing",12,334,0.0359281437125748
"51","L.Edwards",12,338,0.0355029585798817
"52","B.Barker",11,417,0.026378896882494
"53","J.Bidwell",11,767,0.0143415906127771
"54","M.Knorr",11,316,0.0348101265822785
"55","M.McBriar",11,618,0.0177993527508091
"56","T.Rouen",11,375,0.0293333333333333
"57","C.Wadman",10,143,0.0699300699300699
"58","D.Frost",10,387,0.0258397932816537
"59","L.Cooke",10,216,0.0462962962962963
"60","M.Palardy",10,243,0.0411522633744856
"61","R.Sanchez",10,253,0.0395256916996047
"62","S.Landeta",10,394,0.0253807106598985
"63","B.Nortman",9,492,0.0182926829268293
"64","M.Wile",9,90,0.1
"65","S.Martin",9,546,0.0164835164835165
"66","Z.Mesko",9,232,0.0387931034482759
"67","C.Bojorquez",8,180,0.0444444444444444
"68","C.Mohr",8,404,0.0198019801980198
"69","R.Plackemeier",8,255,0.0313725490196078
"70","S.Player",8,518,0.0154440154440154
"71","D.Johnson",7,414,0.0169082125603865
"72","D.Kaser",7,143,0.048951048951049
"73","J.Jett",7,266,0.0263157894736842
"74","J.Kapinos",7,151,0.0463576158940397
"75","J.Bailey",6,141,0.0425531914893617
"76","J.Miller",6,365,0.0164383561643836
"77","M.Wishnowsky",6,126,0.0476190476190476
"78","R.Dixon",6,366,0.0163934426229508
"79","M.Dickson",5,234,0.0213675213675214
"80","M.Haack",5,306,0.0163398692810458
"81","M.Royals",5,252,0.0198412698412698
"82","S.Paulescu",5,102,0.0490196078431373
"83","T.Daniel",5,92,0.0543478260869565
"84","A.Cole",4,111,0.036036036036036
"85","B.Sander",4,64,0.0625
"86","D.Bennett",4,312,0.0128205128205128
"87","J.Scott",4,205,0.0195121951219512
"88","J.Vogel",4,71,0.0563380281690141
"89","K.Richardson",4,403,0.00992555831265509
"90","R.Quigley",4,336,0.0119047619047619
"91","S.Lanning",4,179,0.0223463687150838
"92","C.Johnston",3,215,0.013953488372093
"93","D. Bennett",3,94,0.0319148936170213
"94","D.Butler",3,263,0.0114068441064639
"95","D.Sepulveda",3,225,0.0133333333333333
"96","J. Miller",3,62,0.0483870967741935
"97","J.Berry",3,409,0.00733496332518337
"98","J.Charlton",3,45,0.0666666666666667
"99","Jo.Miller",3,71,0.0422535211267606
"100","M.Allen",3,67,0.0447761194029851
"101","M.Darr",3,201,0.0149253731343284
"102","R. Williams",3,70,0.0428571428571429
"103","R.Malone",3,157,0.0191082802547771
"104","B. Maynard",2,97,0.0206185567010309
"105","B.Bartholomew",2,44,0.0454545454545455
"106","B.Hartmann",2,58,0.0344827586206897
"107","B.LaFleur",2,96,0.0208333333333333
"108","C. Gardocki",2,32,0.0625
"109","C.Henry",2,82,0.024390243902439
"110","D.Stryzinski",2,155,0.0129032258064516
"111","G.Pakulak",2,37,0.0540540540540541
"112","J. Baker",2,80,0.025
"113","J.Schum",2,123,0.016260162601626
"114","L.Johnson",2,164,0.0121951219512195
"115","M. Royals",2,56,0.0357142857142857
"116","P.Ernster",2,104,0.0192307692307692
"117","S.Cheek",2,42,0.0476190476190476
"118","T.Conley",2,92,0.0217391304347826
"119","T.Tupa",2,442,0.00452488687782805
"120",NA,2,289,0.0069204152249135
"121","B.Mann",1,80,0.0125
"122","C. Hanson",1,77,0.012987012987013
"123","D. Stryzinski",1,136,0.00735294117647059
"124","D.Pope",1,97,0.0103092783505155
"125","F.Filipovic",1,65,0.0153846153846154
"126","G.Gano",1,8,0.125
"127","J.Brown",1,6,0.166666666666667
"128","K.Stemke",1,40,0.025
"129","K.Stewart",1,5,0.2
"130","L.Araguz",1,42,0.0238095238095238
"131","M. Berger",1,72,0.0138888888888889
"132","M.Dodge",1,71,0.0140845070422535
"133","N. Harris",1,12,0.0833333333333333
"134","N.Murphy",1,28,0.0357142857142857
"135","Nick.Harris",1,15,0.0666666666666667
"136","R.Donahue",1,49,0.0204081632653061
"137","S. Lechler",1,169,0.00591715976331361
"138","S. Player",1,33,0.0303030303030303
"139","S.Janikowski",1,1,1
"140","S.Suisham",1,6,0.166666666666667
"141","T.Barnhardt",1,82,0.0121951219512195
"142","T.Long",1,105,0.00952380952380952
"143","T.Parks",1,5,0.2
"144","T.Townsend",1,55,0.0181818181818182
